Data_Unit,Error_Rate,Time_Elapsed,Throughput
50,75,2213.455,27.013424
50,75,3127.59,19.117914
50,75,2235.926,26.74194
50,75,3482.84,17.167885
50,75,2022.916,29.557827
50,75,3239.999,18.454636
50,75,2072.132,28.855785
50,75,2479.838,24.111656
50,75,2310.873,25.874636
50,75,3721.425,16.067232
50,75,2208.052,27.079525
50,75,2032.465,29.418957
50,75,3136.501,19.063601
50,75,2185.503,27.358919
50,75,2264.313,26.406685
50,75,3679.124,16.251966
50,75,2108.821,28.353758
50,75,2141.726,27.918137
50,75,2302.503,25.968697
50,75,3412.758,17.520433
50,75,2130.686,28.062792
50,75,2234.878,26.754482
50,75,2188.992,27.315313
50,75,2074.99,28.816042
50,75,3272.451,18.271626
50,75,2267.733,26.366861
50,75,2456.218,24.343523
1250,0,15.491,3859.854004
1250,0,15.403,3881.90625
1250,0,14.449,4138.209961
1250,0,14.038,4259.367188
1250,0,7.78,7685.475586
1250,0,7.986,7487.227539
1250,0,14.695,4068.935059
1250,0,7.873,7594.69043
1250,0,23.437,2551.222412
1250,0,14.471,4131.918945
1250,0,15.503,3856.866455
1250,0,14.43,4143.65918
1250,0,13.878,4308.473633
1250,0,15.499,3857.861816
1250,0,14.192,4213.147949
1250,0,14.325,4174.03125
1250,0,13.349,4479.211914
1250,0,13.247,4513.701172
1250,0,13.83,4323.427246
1250,0,13.89,4304.751465
1250,0,12.69,4711.820312
1250,0,4.466,13388.49023
1250,0,4.637,12894.75977
1250,0,14.979,3991.788574
1250,0,5.228,11437.06934
1250,0,5.256,11376.1416
1250,0,16.223,3685.693359
1250,0,16.336,3660.198242
1250,0,19.863,3010.270264
1250,0,13.735,4353.331055
1250,0,20.429,2926.868652
1250,0,13.945,4287.773438
1250,0,14.634,4085.895996
1250,0,13.43,4452.196289
1250,0,16.932,3531.36084
1250,0,13.723,4357.137695
1250,0,13.632,4386.223633
1250,0,13.345,4480.554199
1250,0,18.374,3254.217773
1250,0,13.33,4485.596191
1250,0,12.277,4870.32666
1250,0,13.612,4392.667969
1250,0,14.116,4235.831543
1250,0,13.337,4483.242188
1250,0,1015.037,58.907211
1250,0,40.988,1458.792847
1250,0,13.474,4437.657715
1250,0,13.08,4571.330078
1250,0,8.948,6682.275391
1250,0,6.944,8610.743164
1250,0,11.17,5352.999023
1250,0,13.182,4535.958008
1250,0,5.426,11019.71973
1250,0,18.727,3192.876709
1250,0,14.41,4149.410156
1250,0,17.534,3410.117432
1250,0,19.336,3092.314697
1250,0,14.112,4237.032227
1250,0,20.165,2965.187012
1250,0,13.138,4551.149414
1250,25,17.462,3424.178223
1250,25,15.366,3891.253418
1250,25,19.848,3012.54541
1250,25,14.517,4118.826172
1250,25,16.363,3654.158691
1250,25,14.832,4031.351074
1250,25,15.201,3933.491211
1250,25,15.625,3826.751953
1250,25,14.376,4159.223633
1250,25,19.001,3146.834473
1250,25,16.475,3629.317139
1250,25,16.597,3602.638916
1250,25,15.791,3786.523926
1250,25,15.478,3863.096191
1250,25,15.041,3975.333984
1250,25,23.925,2499.185059
1250,25,15.475,3863.844727
1250,25,18.691,3199.026367
1250,25,16.742,3571.437012
1250,25,21.895,2730.897461
1250,25,26.728,2237.092041
1250,25,16.12,3709.24292
1250,25,21.691,2756.581055
1250,25,14.95,3999.531738
1250,25,16.577,3606.985596
1250,25,21.008,2846.201416
1250,25,15.721,3803.384033
1250,25,15.809,3782.212646
1250,25,15.145,3948.035645
1250,25,14.972,3993.654785
1250,25,14.25,4196
1250,25,15.013,3982.748291
1250,25,30.074,1988.195801
1250,25,14.597,4096.252441
1250,25,20.559,2908.361328
1250,25,15.179,3939.192383
1250,25,20.204,2959.463379
1250,25,14.974,3993.121338
1250,25,14.785,4044.166504
1250,25,21.052,2840.252686
1250,25,7.473,8001.204102
1250,25,6.853,8725.083984
1250,25,26.457,2260.006836
1250,25,21.056,2839.713135
1250,25,13.77,4342.265625
1250,25,14.534,4114.008301
1250,25,14.446,4139.069824
1250,25,24.71,2419.789551
1250,25,24.322,2458.391602
1250,25,1015.242,58.895317
